[10/20/2019 07:33:26 PM][ INFO    ] Loading Graph Engine Extensions.
[10/20/2019 07:33:28 PM][ INFO    ] Scanning for TSL storage extension.
[10/20/2019 07:33:28 PM][ INFO    ] TSL storage extension loaded.
[10/20/2019 07:33:28 PM][ INFO    ] Scanning for MemoryCloud extensions.
[10/20/2019 07:33:28 PM][ INFO    ] Scanning for startup tasks.
[10/20/2019 07:33:28 PM][ INFO    ] EventLoop: Starting.
[10/20/2019 07:33:28 PM][ INFO    ] TrinityClient: scanning for client connection factory.
[10/20/2019 07:33:28 PM][ INFO    ] MemoryCloud extension 'ClientMemoryCloud' loaded.
[10/20/2019 07:33:28 PM][ INFO    ] Scanning for auto-registered communication modules.
[10/20/2019 07:33:28 PM][ INFO    ] Working Directory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\
[10/20/2019 07:33:28 PM][ INFO    ] StorageRoot : I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\
[10/20/2019 07:33:28 PM][ INFO    ] LogDirectory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\trinity-log
[10/20/2019 07:33:28 PM][ INFO    ] LoggingLevel: Info
[10/20/2019 07:33:28 PM][ INFO    ] HttpPort:     80
[10/20/2019 07:33:28 PM][ INFO    ] Client -1 is successfully started.
[10/20/2019 07:33:30 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[10/20/2019 07:33:30 PM][ INFO    ] Initializing logging facility
[10/20/2019 07:33:30 PM][ INFO    ] Creating write-ahead log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\A\write_ahead_log\primary_storage_log_17.dat
[10/20/2019 07:33:44 PM][ INFO    ] Saving storage to [SLOT B]
[10/20/2019 07:33:46 PM][ INFO    ] Save storage complete, image version = 18.
