[10/20/2019 04:30:36 PM][ INFO    ] Loading Graph Engine Extensions.
[10/20/2019 04:30:37 PM][ INFO    ] Scanning for TSL storage extension.
[10/20/2019 04:30:38 PM][ INFO    ] TSL storage extension loaded.
[10/20/2019 04:30:38 PM][ INFO    ] Scanning for MemoryCloud extensions.
[10/20/2019 04:30:38 PM][ INFO    ] Scanning for startup tasks.
[10/20/2019 04:30:38 PM][ INFO    ] EventLoop: Starting.
[10/20/2019 04:30:38 PM][ INFO    ] TrinityClient: scanning for client connection factory.
[10/20/2019 04:30:38 PM][ INFO    ] MemoryCloud extension 'ClientMemoryCloud' loaded.
[10/20/2019 04:30:38 PM][ INFO    ] Scanning for auto-registered communication modules.
[10/20/2019 04:31:02 PM][ INFO    ] Working Directory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\
[10/20/2019 04:31:02 PM][ INFO    ] StorageRoot : I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\
[10/20/2019 04:31:02 PM][ INFO    ] LogDirectory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\trinity-log
[10/20/2019 04:31:02 PM][ INFO    ] LoggingLevel: Info
[10/20/2019 04:31:02 PM][ INFO    ] HttpPort:     80
[10/20/2019 04:31:02 PM][ INFO    ] Client -1 is successfully started.
[10/20/2019 04:31:11 PM][ INFO    ] MemoryCloud extension 'ClientMemoryCloud' loaded.
