[10/20/2019 07:20:26 PM][ INFO    ] Loading Graph Engine Extensions.
[10/20/2019 07:20:27 PM][ INFO    ] Scanning for TSL storage extension.
[10/20/2019 07:20:27 PM][ INFO    ] TSL storage extension loaded.
[10/20/2019 07:20:27 PM][ INFO    ] Scanning for MemoryCloud extensions.
[10/20/2019 07:20:27 PM][ INFO    ] Scanning for startup tasks.
[10/20/2019 07:20:27 PM][ INFO    ] EventLoop: Starting.
[10/20/2019 07:20:27 PM][ INFO    ] TrinityClient: scanning for client connection factory.
[10/20/2019 07:20:28 PM][ INFO    ] MemoryCloud extension 'ClientMemoryCloud' loaded.
[10/20/2019 07:20:28 PM][ INFO    ] Scanning for auto-registered communication modules.
[10/20/2019 07:20:28 PM][ INFO    ] Working Directory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\
[10/20/2019 07:20:28 PM][ INFO    ] StorageRoot : I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\
[10/20/2019 07:20:28 PM][ INFO    ] LogDirectory: I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\trinity-log
[10/20/2019 07:20:28 PM][ INFO    ] LoggingLevel: Info
[10/20/2019 07:20:28 PM][ INFO    ] HttpPort:     80
[10/20/2019 07:20:28 PM][ INFO    ] Client -1 is successfully started.
[10/20/2019 07:20:36 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[10/20/2019 07:20:36 PM][ INFO    ] Initializing logging facility
[10/20/2019 07:20:36 PM][ INFO    ] Creating write-ahead log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\B\write_ahead_log\primary_storage_log_6.dat
[10/20/2019 07:20:36 PM][ INFO    ] Saving storage to [SLOT A]
[10/20/2019 07:20:38 PM][ INFO    ] Save storage complete, image version = 7.
[10/20/2019 07:20:38 PM][ INFO    ] Creating write-ahead log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\A\write_ahead_log\primary_storage_log_7.dat
[10/20/2019 07:20:38 PM][ INFO    ] Dropping write-ahead-log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\B\write_ahead_log\primary_storage_log_6.dat
[10/20/2019 07:20:38 PM][ INFO    ] Saving cell type signatures.
[10/20/2019 07:20:48 PM][ INFO    ] Saving storage to [SLOT B]
[10/20/2019 07:20:50 PM][ INFO    ] Save storage complete, image version = 8.
[10/20/2019 07:20:50 PM][ INFO    ] Creating write-ahead log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\B\write_ahead_log\primary_storage_log_8.dat
[10/20/2019 07:20:50 PM][ INFO    ] Dropping write-ahead-log file I:\IKW-GraphEngineConsoleApps\IKW.Trinity.Client.TestServer\Trinity.WPF.TestClient\bin\Debug\netcoreapp3.0\storage\A\write_ahead_log\primary_storage_log_7.dat
[10/20/2019 07:20:50 PM][ INFO    ] Saving cell type signatures.
